City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Matamoros,MX,78.91,broken clouds,25.5333,-103.25,Quinta Belem
292,Wellington,NZ,75.56,clear sky,-41.2866,174.7756,CityLife Wellington
296,Waihi,NZ,78.84,overcast clouds,-37.3833,175.8333,Waihi Motel
300,Benguela,AO,76.15,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
303,Lorengau,PG,79.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
308,Morant Bay,JM,76.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
313,Wajir,KE,75.56,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
314,Katherine,AU,84.52,few clouds,-14.4667,132.2667,Pine Tree Motel
323,Conakry,GN,80.67,mist,9.538,-13.6773,Riviera Royal Hotel
324,Faanui,PF,80.98,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
327,Nelson Bay,AU,82.76,broken clouds,-32.7167,152.15,Mantra Nelson Bay
332,Muncar,ID,78.87,overcast clouds,-8.4333,114.3333,Zaky Homestay
342,Moron,AR,82.06,clear sky,-34.6534,-58.6198,Hotel Morón
345,Batemans Bay,AU,82.98,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
350,Codrington,AU,77.34,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
356,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
362,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
369,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
370,Minas,UY,75.67,clear sky,-34.3759,-55.2377,Hotel Minas
371,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
372,Trincomalee,LK,80.46,scattered clouds,8.5711,81.2335,Welcombe Hotel
375,Loandjili,CG,78.91,few clouds,-4.7561,11.8578,Résidence ARCHANGE
376,Boali,CF,75.07,broken clouds,4.8005,18.1275,Auberge des Cocotiers Boali poste
379,Gizo,SB,84.81,overcast clouds,-8.103,156.8419,Imagination Island
382,Cumana,VE,78.89,overcast clouds,10.4635,-64.1775,Posada Acuarela Los Roques
395,Karaton,ID,75.36,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
400,Sao Joao Da Barra,BR,75.58,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
401,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
404,Sainte-Suzanne,RE,79.02,few clouds,-20.9061,55.6089,Gites Ango
410,Springbok,ZA,75.65,broken clouds,-29.6643,17.8865,Undulata Country Lodge
415,Hambantota,LK,75.58,few clouds,6.1241,81.1185,Bungalow 63
422,Dalby,AU,81.3,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
